Time,Away,Home,Opening Line,Current Line,Result
1:05 PM Game Time,N.Y. Rangers,Boston,6.5,6.5
4:05 PM Game Time,Toronto,Buffalo,2%,6.0
4:05 PM Game Time,Detroit,Philadelphia,97%,73%
4:08 PM Game Time,Colorado,Chicago,-120,99%
4:05 PM Game Time,Winnipeg,Anaheim,-110,-125
4:05 PM Game Time,Los Angeles,San Jose,25%,-177
4:08 PM Game Time,Ottawa,Minnesota,5.5,22%
5:05 PM Game Time,Tampa Bay,Washington,6.5,6.5
6:05 PM Game Time,Arizona,Vegas,5.5,5.5
7:05 PM Game Time,Pittsburgh,Columbus,6.0,6
7:35 PM Game Time,Nashville,Carolina,6.0,6.5
8:35 PM Game Time,St. Louis,Dallas,5.5,5.5
