Date 	VS 	Score 	ML 	O/U 	Goalie 	Opp. Goalie
Apr 6 	awayTeamLogo TB 	L 3-6 	L -120 	O 6.5 105 	T. Rask 	E. Pasquale
Apr 4 	awayTeamLogo @ MIN 	W 3-0 	W +110 	U 5.5 -114 	J. Halak 	A. Stalock
Apr 2 	awayTeamLogo @ CLB 	W 6-2 	W +115 	O 5.5 -129 	T. Rask 	S. Bobrovsky
Mar 31 	awayTeamLogo @ DET 	L 3-6 	L -225 	O 5.5 -135 	J. Halak 	J. Howard
Mar 30 	awayTeamLogo FLA 	L 1-4 	L -244 	U 6.5 -132 	T. Rask 	R. Luongo
Mar 27 	awayTeamLogo NYR 	W 6-3 	W -357 	O 6 -103 	J. Halak 	H. Lundqvist
Mar 25 	awayTeamLogo @ TB 	L 4-5 	L +135 	O 6 -113 	T. Rask 	A. Vasilevskiy
Mar 23 	awayTeamLogo @ FLA 	W 7-3 	W -147 	O 6 -103 	J. Halak 	S. Montembeault
Mar 21 	awayTeamLogo @ NJ 	W 5-1 	W -325 	O 5.5 -125 	T. Rask 	C. Schneider
Mar 19 	awayTeamLogo @ NYI 	W 5-0 	W -116 	U 5.5 -139 	T. Rask 	R. Lehner
Mar 16 	awayTeamLogo CLB 	W 2-1 (OT) 	W -175 	U 6 -109 	J. Halak 	J. Korpisalo
Mar 14 	awayTeamLogo @ WIN 	L 3-4 	L +109 	O 6 -125 	T. Rask 	C. Hellebuyck
Mar 12 	awayTeamLogo @ CLB 	L 4-7 	L -116 	O 6 125 	T. Rask 	S. Bobrovsky
Mar 10 	awayTeamLogo @ PIT 	L 2-4 	L +100 	U 6.5 -120 	J. Halak 	M. Murray
Mar 9 	awayTeamLogo OTT 	W 3-2 	W -455 	U 6 120 	T. Rask 	C. Anderson
Mar 7 	awayTeamLogo FLA 	W 4-3 	W -222 	O 6 -111 	T. Rask 	R. Luongo
Mar 5 	awayTeamLogo CAR 	W 4-3 (OT) 	W -132 	O 5.5 -105 	J. Halak 	C. McElhinney
Mar 2 	awayTeamLogo NJ 	W 1-0 	W -357 	U 6 -125 	T. Rask 	M. Blackwood
