Apr 6 	awayTeamLogo @ DET 	W 7-1 	W +105 	O 6 -116 	L. Ullmark 	J. Howard
Apr 4 	awayTeamLogo OTT 	W 5-2 	W -195 	O 6 -120 	C. Hutton 	J. Daccord
Apr 2 	awayTeamLogo NAS 	L 2-3 	L +175 	U 5.5 -118 	C. Hutton 	P. Rinne
Mar 31 	awayTeamLogo CLB 	L 0-4 	L +191 	U 5.5 118 	L. Ullmark 	S. Bobrovsky
Mar 30 	awayTeamLogo @ NYI 	L 1-5 	L +185 	O 5.5 106 	C. Hutton 	R. Lehner
Mar 28 	awayTeamLogo DET 	L 4-5 (OT) 	L -156 	O 6 100 	L. Ullmark 	J. Howard
Mar 26 	awayTeamLogo @ OTT 	L 0-4 	L -120 	U 6 100 	C. Hutton 	C. Anderson
Mar 25 	awayTeamLogo @ NJ 	L 1-3 	L -107 	U 5.5 100 	L. Ullmark 	C. Schneider
Mar 23 	awayTeamLogo @ MON 	L 4-7 	L +185 	O 5.5 -109 	C. Hutton 	C. Price
Mar 20 	awayTeamLogo TOR 	L 2-4 	L +125 	U 6.5 -124 	C. Hutton 	G. Sparks
Mar 17 	awayTeamLogo STL 	W 4-3 (SO) 	W +130 	O 5.5 -104 	C. Hutton 	J. Allen
Mar 16 	awayTeamLogo @ CAR 	L 2-4 	L +180 	P 6 	L. Ullmark 	C. McElhinney
Mar 14 	awayTeamLogo PIT 	L 0-5 	L +145 	U 6.5 -116 	C. Hutton 	C. DeSmith
Mar 12 	awayTeamLogo DAL 	L 0-2 	L +130 	U 5.5 -122 	L. Ullmark 	B. Bishop
Mar 9 	awayTeamLogo @ COL 	L 0-3 	L +122 	U 6.5 -105 	C. Hutton 	P. Grubauer
Mar 7 	awayTeamLogo @ CHI 	L 4-5 (SO) 	L +105 	O 7 -125 	C. Hutton 	C. Crawford
Mar 4 	awayTeamLogo EDM 	L 3-4 	L -125 	O 6 -105 	L. Ullmark 	M. Koskinen
Mar 2 	awayTeamLogo @ TOR 	L 2-5 	L +220 	O 6.5 -125 	L. Ullmark 	F. Andersen
Mar 1 	awayTeamLogo PIT 	W 4-3 (OT) 	W +110 	O 6.5 -125 	L. Ullmark 	M. Murray
Feb 26 	awayTeamLogo @ PHI 	L 2-5 	L +135 	O 6.5 105 	C. Hutton 	B. Elliott
Feb 25 	awayTeamLogo @ TOR 	L 3-5 	L +215 	O 6.5 114 	L. Ullmark 	F. Andersen
Feb 23 	awayTeamLogo WAS 	W 5-2 	W +110 	O 6 105 	C. Hutton 	B. Holtby
Feb 21 	awayTeamLogo @ TB 	L 1-2 (SO) 	L +252 	U 6.5 -118 	C. Hutton 	A. Vasilevskiy
Feb 19 	awayTeamLogo @ FLA 	L 2-4 	L +130 	P 6 	L. Ullmark 	J. Reimer
