Apr 6 	awayTeamLogo NJ 	L 3-4 (OT) 	L -205 	O 6 -129 	R. Luongo 	M. Blackwood
Apr 4 	awayTeamLogo NYI 	L 1-2 (SO) 	L -104 	U 5.5 105 	S. Montembeault 	T. Greiss
Apr 1 	awayTeamLogo WAS 	W 5-3 	W +110 	O 6.5 104 	R. Luongo 	P. Copley
Mar 30 	awayTeamLogo @ BOS 	W 4-1 	W +195 	U 6.5 -132 	R. Luongo 	T. Rask
Mar 28 	awayTeamLogo @ OTT 	W 5-2 	W -143 	O 6.5 -105 	R. Luongo 	A. Nilsson
Mar 26 	awayTeamLogo @ MON 	L 1-6 	L +155 	O 6 -107 	J. Reimer 	C. Price
Mar 25 	awayTeamLogo @ TOR 	L 5-7 	L +175 	O 6.5 112 	R. Luongo 	F. Andersen
Mar 23 	awayTeamLogo BOS 	L 3-7 	L +125 	O 6 -103 	S. Montembeault 	J. Halak
Mar 21 	awayTeamLogo ARI 	W 4-2 	W -128 	O 5.5 -125 	R. Luongo 	D. Kuemper
Mar 19 	awayTeamLogo @ DAL 	L 2-4 	L +127 	O 5.5 105 	S. Montembeault 	B. Bishop
Mar 17 	awayTeamLogo @ ANA 	L 2-3 	L -110 	U 5.5 102 	S. Montembeault 	J. Gibson
Mar 16 	awayTeamLogo @ LA 	W 4-3 	W -170 	O 5.5 -118 	S. Montembeault 	J. Quick
Mar 14 	awayTeamLogo @ SJ 	W 4-2 	W +175 	U 7 -121 	S. Montembeault 	M. Jones
Mar 10 	awayTeamLogo DET 	W 6-1 	W -227 	O 6 -138 	S. Montembeault 	J. Howard
Mar 8 	awayTeamLogo MIN 	W 6-2 	W +106 	O 6 -127 	S. Montembeault 	D. Dubnyk
Mar 7 	awayTeamLogo @ BOS 	L 3-4 	L +180 	O 6 -111 	R. Luongo 	T. Rask
Mar 5 	awayTeamLogo @ PIT 	L 2-3 (OT) 	L +155 	U 7 -111 	R. Luongo 	M. Murray
Mar 3 	awayTeamLogo OTT 	L 2-3 	L -278 	U 6.5 -132 	R. Luongo 	A. Nilsson
Mar 2 	awayTeamLogo CAR 	L 3-4 (OT) 	L +105 	O 6 -132 	S. Montembeault 	P. Mrazek
Feb 28 	awayTeamLogo @ VEG 	L 5-6 (SO) 	L +170 	O 6.5 110 	R. Luongo 	M. Subban
Feb 26 	awayTeamLogo @ ARI 	L 3-4 (SO) 	L +105 	O 6 -105 	R. Luongo 	D. Kuemper
Feb 25 	awayTeamLogo @ COL 	W 4-3 (OT) 	W +117 	O 6.5 107 	R. Luongo 	S. Varlamov
Feb 23 	awayTeamLogo LA 	W 6-1 	W -165 	O 5.5 100 	R. Luongo 	J. Quick
