Date 	VS 	Score 	ML 	O/U 	Goalie 	Opp. Goalie
Apr 6 	awayTeamLogo TOR 	W 6-5 (SO) 	W -110 	O 6.5 -111 	C. Lindgren 	F. Andersen
Apr 4 	awayTeamLogo @ WAS 	L 1-2 	L +123 	U 6 -129 	C. Price 	B. Holtby
Apr 2 	awayTeamLogo TB 	W 4-2 	W -120 	U 6.5 -116 	C. Price 	E. Pasquale
Mar 30 	awayTeamLogo @ WIN 	W 3-1 	W +120 	U 5.5 -107 	C. Price 	C. Hellebuyck
Mar 28 	awayTeamLogo @ CLB 	L 2-6 	L +130 	O 5.5 102 	C. Price 	S. Bobrovsky
Mar 26 	awayTeamLogo FLA 	W 6-1 	W -190 	O 6 -107 	C. Price 	J. Reimer
Mar 24 	awayTeamLogo @ CAR 	L 1-2 (OT) 	L +157 	U 5.5 104 	C. Price 	C. McElhinney
Mar 23 	awayTeamLogo BUF 	W 7-4 	W -213 	O 5.5 -109 	C. Price 	C. Hutton
Mar 21 	awayTeamLogo NYI 	W 4-0 	W -149 	U 5 100 	C. Price 	T. Greiss
Mar 19 	awayTeamLogo @ PHI 	W 3-1 	W -105 	U 6 -116 	C. Price 	C. Hart
Mar 16 	awayTeamLogo CHI 	L 0-2 	L -155 	U 7 -111 	C. Price 	C. Crawford
Mar 14 	awayTeamLogo @ NYI 	L 1-2 	L +113 	U 5.5 -134 	C. Price 	T. Greiss
Mar 12 	awayTeamLogo DET 	W 3-1 	W -357 	U 5.5 107 	C. Price 	J. Bernier
Mar 8 	awayTeamLogo @ ANA 	L 2-8 	L -128 	O 5.5 120 	C. Price 	J. Gibson
Mar 7 	awayTeamLogo @ SJ 	L 2-5 	L +150 	O 6.5 -102 	A. Niemi 	M. Jones
Mar 5 	awayTeamLogo @ LA 	W 3-1 	W -141 	U 5.5 -104 	C. Price 	J. Quick
Mar 2 	awayTeamLogo PIT 	L 1-5 	L -120 	U 6.5 100 	C. Price 	M. Murray
Mar 1 	awayTeamLogo @ NYR 	W 4-2 	W -130 	P 6 	C. Price 	H. Lundqvist
Feb 26 	awayTeamLogo @ DET 	W 8-1 	W -132 	O 6 -105 	C. Price 	J. Howard
Feb 25 	awayTeamLogo @ NJ 	L 1-2 	L -156 	U 6 -124 	C. Price 	C. Schneider
Feb 23 	awayTeamLogo @ TOR 	L 3-6 	L +160 	O 6 -104 	C. Price 	F. Andersen
Feb 21 	awayTeamLogo PHI 	W 5-1 	W -140 	P 6 	C. Price 	C. Hart
Feb 19 	awayTeamLogo CLB 	W 3-2 	W -130 	U 6 -122 	C. Price 	S. Bobrovsky
Feb 17 	awayTeamLogo @ FLA 	L 3-6 	L +113 	O 6 100 	C. Price 	J. Reimer
Feb 16 	awayTeamLogo @ TB 	L 0-3 	L +180 	U 6 -109 	C. Price 	A. Vasilevskiy
Feb 14 	awayTeamLogo @ NAS 	L 1-3 	L +142 	U 5.5 -109 	C. Price 	P. Rinne
