Teams,Over,Under,Push,Over %,Under %
['Bruins'],12,9,2,57.1,42.9
['Sabres'],12,11,1,52.2,47.8
['Red-wings'],12,10,4,54.5,45.5
['Panthers'],17,6,1,73.9,26.1
['Canadiens'],13,9,1,59.1,40.9
['Senators'],8,13,2,38.1,61.9
['Lightning'],13,8,0,61.9,38.1
['Maple-leafs'],13,11,0,54.2,45.8
['Hurricanes'],13,11,0,54.2,45.8
['Blue-jackets'],9,13,1,40.9,59.1
['Devils'],12,10,0,54.5,45.5
['Islanders'],10,11,1,47.6,52.4
['Rangers'],10,12,0,45.5,54.5
['Flyers'],11,13,0,45.8,54.2
['Penguins'],10,13,1,43.5,56.5
['Capitals'],16,7,1,69.6,30.4
['Blackhawks'],8,14,1,36.4,63.6
['Avalanche'],12,9,2,57.1,42.9
['Stars'],9,16,0,36.0,64.0
['Wild'],12,11,1,52.2,47.8
['Predators'],15,8,0,65.2,34.8
['Blues'],10,14,0,41.7,58.3
['Jets'],10,13,1,43.5,56.5
['Ducks'],14,11,0,56.0,44.0
['Coyotes'],8,16,1,33.3,66.7
['Flames'],8,16,3,33.3,66.7
['Oilers'],13,12,1,52.0,48.0
['Kings'],11,11,2,50.0,50.0
['Sharks'],13,10,1,56.5,43.5
['Canucks'],13,11,1,54.2,45.8
['Golden-knights'],13,11,1,54.2,45.8
