Date 	VS 	Score 	ML 	O/U 	Goalie 	Opp. Goalie
Apr 6 	awayTeamLogo CLB 	L 2-6 	L +155 	O 6.5 -105 	C. Anderson 	J. Korpisalo
Apr 4 	awayTeamLogo @ BUF 	L 2-5 	L +175 	O 6 -120 	J. Daccord 	C. Hutton
Apr 3 	awayTeamLogo @ NYR 	W 4-1 	W +155 	U 6 -108 	A. Nilsson 	H. Lundqvist
Apr 1 	awayTeamLogo TB 	L 2-5 	L +246 	O 6.5 -103 	C. Anderson 	A. Vasilevskiy
Mar 30 	awayTeamLogo TOR 	W 4-2 	W +185 	U 7 -141 	C. Anderson 	G. Sparks
Mar 28 	awayTeamLogo FLA 	L 2-5 	L +120 	O 6.5 -105 	A. Nilsson 	R. Luongo
Mar 26 	awayTeamLogo BUF 	W 4-0 	W +100 	U 6 100 	C. Anderson 	C. Hutton
Mar 23 	awayTeamLogo @ EDM 	W 4-3 (OT) 	W +220 	O 6.5 -103 	C. Anderson 	M. Koskinen
Mar 21 	awayTeamLogo @ CAL 	L 1-5 	L +400 	U 6.5 125 	C. Anderson 	M. Smith
Mar 20 	awayTeamLogo @ VAN 	L 4-7 	L +165 	O 6 -111 	A. Nilsson 	J. Markstrom
Mar 16 	awayTeamLogo TOR 	W 6-2 	W +220 	O 6.5 -105 	A. Nilsson 	G. Sparks
Mar 14 	awayTeamLogo STL 	W 2-0 	W +215 	U 6 -125 	A. Nilsson 	J. Allen
Mar 11 	awayTeamLogo @ PHI 	L 2-3 	L +240 	U 6.5 -111 	C. Anderson 	B. Elliott
Mar 9 	awayTeamLogo @ BOS 	L 2-3 	L +365 	U 6 120 	C. Anderson 	T. Rask
Mar 7 	awayTeamLogo NYI 	L 2-4 	L +170 	O 5.5 -109 	A. Nilsson 	T. Greiss
Mar 5 	awayTeamLogo @ NYI 	L 4-5 (SO) 	L +260 	O 6 100 	C. Anderson 	T. Greiss
Mar 3 	awayTeamLogo @ FLA 	W 3-2 	W +225 	U 6.5 -132 	A. Nilsson 	R. Luongo
Mar 2 	awayTeamLogo @ TB 	L 1-5 	L +425 	U 6.5 -108 	C. Anderson 	A. Vasilevskiy
Feb 28 	awayTeamLogo EDM 	L 2-4 	L +121 	P 6 	C. Anderson 	M. Koskinen
Feb 26 	awayTeamLogo @ WAS 	L 2-7 	L +252 	O 6.5 100 	A. Nilsson 	B. Holtby
Feb 24 	awayTeamLogo CAL 	L 1-2 	L +205 	U 6.5 -111 	C. Anderson 	D. Rittich
Feb 22 	awayTeamLogo CLB 	L 0-3 	L +210 	U 6.5 -125 	C. Anderson 	S. Bobrovsky
Feb 21 	awayTeamLogo @ NJ 	L 0-4 	L +128 	U 6.5 -121 	A. Nilsson 	C. Schneider
Feb 18 	awayTeamLogo @ CHI 	L 7-8 	L +142 	O 7 -105 	C. Anderson 	C. Ward
Feb 16 	awayTeamLogo @ WIN 	W 4-3 (OT) 	W +180 	O 6.5 102 	A. Nilsson 	L. Brossoit
Feb 14 	awayTeamLogo @ DET 	L 2-3 	L +118 	U 6 -108 	A. Nilsson 	J. Howard
Feb 12 	awayTeamLogo CAR 	L 1-4 	L +125 	U 6 100 	A. Nilsson 	C. McElhinney
Feb 9 	awayTeamLogo WIN 	W 5-2 	W +150 	O 6.5 -116 	A. Nilsson 	L. Brossoit
Feb 7 	awayTeamLogo ANA 	W 4-0 	W -116 	U 6 -116 	A. Nilsson 	J. Gibson
Feb 6 	awayTeamLogo @ TOR 	L 4-5 	L +285 	O 6.5 -104 	C. Anderson 	F. Andersen
Feb 2 	awayTeamLogo DET 	L 0-2 	L -130 	U 6 100 	C. Anderson 	J. Bernier
Feb 1 	awayTeamLogo @ PIT 	L 3-5 	L +205 	O 6.5 -108 	A. Nilsson 	C. DeSmith
Jan 22 	awayTeamLogo ARI 	L 2-3 	L -116 	U 6 -112 	C. Anderson 	D. Kuemper
Jan 19 	awayTeamLogo @ STL 	L 2-3 	L +180 	U 6.5 -125 	C. Anderson 	J. Binnington
Jan 18 	awayTeamLogo @ CAR 	W 4-1 	W +195 	U 6.5 -105 	A. Nilsson 	P. Mrazek
Jan 16 	awayTeamLogo COL 	W 5-2 	W +145 	O 6.5 -103 	A. Nilsson 	S. Varlamov
Jan 12 	awayTeamLogo @ SJ 	L 1-4 	L +281 	U 6.5 -129 	A. Nilsson 	M. Jones
Jan 10 	awayTeamLogo @ LA 	W 4-1 	W +190 	U 6 -120 	A. Nilsson 	J. Quick
Jan 9 	awayTeamLogo @ ANA 	W 2-1 (OT) 	W +190 	U 6 -124 	A. Nilsson 	J. Gibson
Jan 6 	awayTeamLogo CAR 	L 4-5 	L +155 	O 6.5 -105 	A. Nilsson 	P. Mrazek
Jan 5 	awayTeamLogo MIN 	L 3-4 	L +155 	O 6.5 -102 	A. Nilsson 	D. Dubnyk
Jan 2 	awayTeamLogo VAN 	L 3-4 (OT) 	L +115 	O 6.5 -105 	M. Hogberg 	J. Markstrom
Dec 31 	awayTeamLogo @ CLB 	L 3-6 	L +251 	O 6.5 -107 	M. Hogberg 	S. Bobrovsky
Dec 29 	awayTeamLogo WAS 	L 2-3 	L +180 	U 6.5 -122 	M. Hogberg 	P. Copley
Dec 28 	awayTeamLogo @ NYI 	L 3-6 	L +152 	O 6 -114 	M. McKenna 	R. Lehner
Dec 22 	awayTeamLogo WAS 	L 0-4 	L +142 	U 6.5 -127 	M. McKenna 	P. Copley
Dec 21 	awayTeamLogo @ NJ 	L 2-5 	L +135 	O 6.5 -109 	C. Anderson 	K. Kinkaid
Dec 17 	awayTeamLogo NAS 	W 4-3 (OT) 	W +157 	O 6.5 -106 	C. Anderson 	J. Saros
Dec 15 	awayTeamLogo @ MON 	L 2-5 	L +165 	O 6.5 -110 	M. McKenna 	C. Price
Dec 14 	awayTeamLogo @ DET 	W 4-2 	W +125 	P 6 	C. Anderson 	J. Howard
Dec 11 	awayTeamLogo @ NAS 	L 1-3 	L +229 	U 6 -113 	C. Anderson 	P. Rinne
Dec 9 	awayTeamLogo BOS 	L 1-2 (OT) 	L +140 	U 6.5 106 	M. McKenna 	T. Rask
Dec 8 	awayTeamLogo PIT 	W 2-1 (OT) 	W +175 	U 7 -132 	C. Anderson 	C. DeSmith
Dec 6 	awayTeamLogo MON 	L 2-5 	L +105 	O 6.5 104 	C. Anderson 	C. Price
Dec 4 	awayTeamLogo @ MON 	L 2-5 	L +163 	O 6.5 -116 	C. Anderson 	C. Price
Dec 1 	awayTeamLogo SJ 	W 6-2 	W +155 	O 6.5 105 	C. Anderson 	M. Jones
Nov 29 	awayTeamLogo NYR 	W 3-0 	W -120 	U 6.5 -122 	C. Anderson 	H. Lundqvist
Nov 27 	awayTeamLogo @ PHI 	W 4-3 	W +195 	O 6.5 -141 	M. McKenna 	A. Stolarz
