Date 	VS 	Score 	ML 	O/U 	Goalie 	Opp. Goalie
Apr 6 	awayTeamLogo @ BOS 	W 6-3 	W +100 	O 6.5 105 	E. Pasquale 	T. Rask
Apr 4 	awayTeamLogo @ TOR 	W 3-1 	W -116 	U 7 -125 	A. Vasilevskiy 	F. Andersen
Apr 2 	awayTeamLogo @ MON 	L 2-4 	L +100 	U 6.5 -116 	E. Pasquale 	C. Price
Apr 1 	awayTeamLogo @ OTT 	W 5-2 	W -278 	O 6.5 -103 	A. Vasilevskiy 	C. Anderson
Mar 30 	awayTeamLogo WAS 	L 3-6 	L -185 	O 7 105 	A. Vasilevskiy 	B. Holtby
Mar 25 	awayTeamLogo BOS 	W 5-4 	W -156 	O 6 -113 	A. Vasilevskiy 	T. Rask
Mar 23 	awayTeamLogo @ STL 	L 3-4 	L -105 	O 6 -117 	A. Vasilevskiy 	J. Binnington
Mar 21 	awayTeamLogo @ CAR 	W 6-3 	W +117 	O 6.5 -152 	L. Domingue 	C. McElhinney
Mar 20 	awayTeamLogo @ WAS 	W 5-4 (OT) 	W -132 	O 6.5 104 	A. Vasilevskiy 	B. Holtby
Mar 18 	awayTeamLogo ARI 	W 4-1 	W -286 	U 6.5 -105 	A. Vasilevskiy 	D. Kuemper
Mar 16 	awayTeamLogo WAS 	W 6-3 	W -175 	O 6.5 -105 	A. Vasilevskiy 	B. Holtby
Mar 14 	awayTeamLogo @ DET 	W 5-4 	W -385 	O 6.5 -105 	A. Vasilevskiy 	J. Howard
Mar 11 	awayTeamLogo @ TOR 	W 6-2 	W +104 	O 6.5 -152 	A. Vasilevskiy 	F. Andersen
Mar 9 	awayTeamLogo DET 	W 3-2 	W -455 	U 6.5 -105 	L. Domingue 	J. Bernier
Mar 7 	awayTeamLogo MIN 	L 0-3 	L -250 	U 6 105 	A. Vasilevskiy 	D. Dubnyk
Mar 5 	awayTeamLogo WIN 	W 5-2 	W -200 	O 6.5 -108 	A. Vasilevskiy 	L. Brossoit
Mar 2 	awayTeamLogo OTT 	W 5-1 	W -550 	U 6.5 -108 	A. Vasilevskiy 	C. Anderson
Feb 28 	awayTeamLogo @ BOS 	L 1-4 	L +105 	U 6.5 103 	L. Domingue 	T. Rask
Feb 27 	awayTeamLogo @ NYR 	W 4-3 (OT) 	W -226 	O 6.5 100 	A. Vasilevskiy 	A. Georgiev
Feb 25 	awayTeamLogo LA 	W 4-3 (SO) 	W -379 	O 6 100 	A. Vasilevskiy 	J. Campbell
Feb 21 	awayTeamLogo BUF 	W 2-1 (SO) 	W -301 	U 6.5 -118 	A. Vasilevskiy 	C. Hutton
Feb 19 	awayTeamLogo @ PHI 	W 5-2 	W -113 	O 6.5 -103 	L. Domingue 	C. Hart
Feb 18 	awayTeamLogo @ CLB 	W 5-1 	W -156 	U 6.5 -111 	A. Vasilevskiy 	J. Korpisalo
Feb 16 	awayTeamLogo MON 	W 3-0 	W -222 	U 6 -109 	A. Vasilevskiy 	C. Price
Feb 14 	awayTeamLogo DAL 	W 6-0 	W -200 	P 6 	A. Vasilevskiy 	A. Khudobin
Feb 12 	awayTeamLogo CAL 	W 6-3 	W -152 	O 6.5 -110 	A. Vasilevskiy 	D. Rittich
Feb 10 	awayTeamLogo @ FLA 	W 5-2 	W -130 	O 6.5 -116 	L. Domingue 	J. Reimer
Feb 9 	awayTeamLogo PIT 	W 5-4 	W -179 	O 6.5 -107 	A. Vasilevskiy 	C. DeSmith
Feb 7 	awayTeamLogo STL 	L 0-1 (OT) 	L -185 	U 6 -111 	A. Vasilevskiy 	J. Binnington
Feb 5 	awayTeamLogo VEG 	L 2-3 (SO) 	L -155 	U 6.5 -105 	A. Vasilevskiy 	M. Fleury
Feb 2 	awayTeamLogo @ NYR 	W 3-2 	W -160 	U 6.5 -122 	L. Domingue 	H. Lundqvist
Feb 1 	awayTeamLogo @ NYI 	W 1-0 (SO) 	W -145 	U 6.5 -120 	A. Vasilevskiy 	T. Greiss
Jan 30 	awayTeamLogo @ PIT 	L 2-4 	L -116 	U 6.5 -112 	A. Vasilevskiy 	M. Murray
Jan 19 	awayTeamLogo SJ 	W 6-3 	W -156 	O 6.5 -106 	A. Vasilevskiy 	M. Jones
Jan 17 	awayTeamLogo TOR 	L 2-4 	L -138 	U 6.5 -112 	A. Vasilevskiy 	F. Andersen
Jan 15 	awayTeamLogo @ DAL 	W 2-0 	W -156 	U 6.5 -120 	A. Vasilevskiy 	A. Khudobin
Jan 13 	awayTeamLogo @ NYI 	L 1-5 	L -167 	U 6.5 -116 	A. Vasilevskiy 	T. Greiss
Jan 12 	awayTeamLogo @ BUF 	W 5-3 	W -182 	O 6.5 -116 	L. Domingue 	L. Ullmark
Jan 10 	awayTeamLogo CAR 	W 3-1 	W -221 	U 6.5 -136 	A. Vasilevskiy 	P. Mrazek
Jan 8 	awayTeamLogo CLB 	W 4-0 	W -185 	U 6.5 -122 	A. Vasilevskiy 	S. Bobrovsky
Jan 5 	awayTeamLogo @ SJ 	L 2-5 	L -120 	O 6.5 -135 	A. Vasilevskiy 	M. Jones
Jan 3 	awayTeamLogo @ LA 	W 6-2 	W -200 	O 6 100 	A. Vasilevskiy 	J. Quick
Dec 31 	awayTeamLogo @ ANA 	W 2-1 (OT) 	W -155 	U 6 106 	A. Vasilevskiy 	J. Gibson
Dec 29 	awayTeamLogo MON 	W 6-5 	W -270 	O 6.5 108 	A. Vasilevskiy 	A. Niemi
Dec 27 	awayTeamLogo PHI 	W 6-5 (OT) 	W -233 	O 6.5 -116 	A. Vasilevskiy 	M. Neuvirth
Dec 22 	awayTeamLogo @ EDM 	W 6-3 	W -156 	O 6 -113 	A. Vasilevskiy 	M. Koskinen
Dec 20 	awayTeamLogo @ CAL 	W 5-4 (SO) 	W -116 	O 6.5 108 	L. Domingue 	D. Rittich
Dec 18 	awayTeamLogo @ VAN 	W 5-2 	W -198 	O 6.5 -116 	A. Vasilevskiy 	A. Nilsson
Dec 16 	awayTeamLogo @ WIN 	L 4-5 (OT) 	L -109 	O 6.5 -119 	A. Vasilevskiy 	C. Hellebuyck
Dec 13 	awayTeamLogo TOR 	W 4-1 	W -141 	U 6.5 -127 	A. Vasilevskiy 	F. Andersen
Dec 10 	awayTeamLogo NYR 	W 6-3 	W -263 	O 6.5 100 	L. Domingue 	H. Lundqvist
Dec 8 	awayTeamLogo COL 	W 7-1 	W -145 	O 6.5 -103 	L. Domingue 	S. Varlamov
Dec 6 	awayTeamLogo BOS 	W 3-2 	W -172 	U 6 -121 	L. Domingue 	T. Rask
